,profession,Corrected,Categorie
2427,restauratrice,restauratrice,None
2428,journaliste,journaliste,None
2431,consultante marquet ng,Consultante m'arque ng,None
2432,eleve,élevé,None
2435,eleve,élevé,None
2437,autre,autre,None
2438,autre,autre,None
2440,analyste financier,Analyste financier,enseignement
2441,charge de com,Charge de COM,None
2444,etudiante,étudiante,enseignement
2445,boutiquier,boutiquier,commerçant
2446,menagere,ménagère,None
2447,formation optique,Formation optique,None
2448,etudiant,étudiant,enseignement
2449,eleve,élevé,None
2453,commercant,commerçant,commerçant
2454,enseignant chercheur,Enseignant chercheur,None
2455,technicien informatique,Technicien informatique,None
2456,commercant,commerçant,commerçant
2459,menagere,ménagère,None
2460,eleve,élevé,None
2461,commercant,commerçant,commerçant
2462,chauffeur,chauffeur,transport
2463,eleve,élevé,None
2465,autre,autre,None
2466,autre,autre,None
2467,autre,autre,None
2469,autre,autre,None
2471,autre,autre,None
2472,autre,autre,None
2475,autre,autre,None
2486,agent de sante,Agent de santé,médical
2487,apprenti mecanicien,Apprenti mécanicien,None
2488,chauffeur de taxi,Chauffeur de taxi,transport
2489,autre,autre,None
2491,autre,autre,None
2492,etudiante,étudiante,enseignement
2493,ingenieur,ingénieur,enseignement
2496,maitre coranique,Maitre coranique,enseignement
2497,autre,autre,None
2500,ingenieur genie civil,ingénieur génie civil,enseignement
2501,autre,autre,None
2502,autre,autre,None
2504,chanchelier,chancelier,None
2505,journaliste,journaliste,None
2506,agent de sante,Agent de santé,médical
2509,autre,autre,None
2510,militaire gendarme,Militaire gendarme,transport
